Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
"1000002","Kabul","Kabul,Kabul,Afghanistan","9075393","AF","City",Active
"1000003","Luanda","Luanda,Luanda Province,Angola","9070431","AO","City",Active
"1000004","The Valley","The Valley,Anguilla","2660","AI","City",Active
"1000007","Kralendijk","Kralendijk,Bonaire,Caribbean Netherlands","9075436","BQ","City",Active
"1000008","Philipsburg","Philipsburg,Sint Maarten,Sint Maarten","9198321","SX","City",Active
"1000009","Willemstad","Willemstad,Curacao","2531","CW","City",Active
"1000010","Abu Dhabi","Abu Dhabi,Abu Dhabi,United Arab Emirates","9041082","AE","City",Active
"1000011","Ajman","Ajman,Ajman,United Arab Emirates","9047096","AE","City",Active
"1000012","Al Ain","Al Ain,Abu Dhabi,United Arab Emirates","9041082","AE","City",Active
"1000013","Dubai","Dubai,Dubai,United Arab Emirates","9041083","AE","City",Active
"1000014","Ras Al-Khaimah","Ras Al-Khaimah,Ras Al Khaimah,United Arab Emirates","9047098","AE","City",Active
"1000018","Salta","Salta,Salta Province,Argentina","20008","AR","City",Active
"1000021","Avellaneda","Avellaneda,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000024","Bahia Blanca","Bahia Blanca,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000025","Balcarce","Balcarce,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000027","Brandsen","Brandsen,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000028","Campana","Campana,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000029","Chacabuco","Chacabuco,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000030","Colon","Colon,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000031","Del Viso","Del Viso,Pilar,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000035","Isidro Casanova","Isidro Casanova,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000036","Junin","Junin,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000037","La Plata","La Plata,Buenos Aires Province,Argentina","20009","AR","City",Active
"1000039","Lomas de Zamora","Lomas de Zamora,Buenos Aires Province,Argentina","20009","AR","City",Active
